id	revid	url	title	line
125202	824068	https://he.wikipedia.org/wiki?curid=125202	הפדרציה הבין-לאומית לטניס	"ה פדרציה ה בין ל לאומי ל טניס ( ב אנגלית : International Tennis Federation , ב ראש תיבה : ITF ) הוא ה פדרציה ה בין ל לאומי ה ניהל את ענף ה טניס ב ה עולם . הוא מאגדה התאחדות טניס של 211 מדינה . נוסד ב - 1913 ב פריז ו נקרא ב ה מקור ( עד 1977 ) "" פדרציה טניס - דשא בין ללאומי "" ( ILTF ) מכיוון ש ב אותו יום טניס שחק כמעט רק על מגרש דשא . משרד של הוא נמצא ב לונדון ו נשיאה ה נוכחי הוא דייוויד ה אגרטי מ ארץ ה ברית . ה תחרות ה עיקרי ה אורגן על יד ה - ITF הוא גביע דייוויס , גביע ה פדרציה ו ה טורניר ה אולימפי ב טניס ."
1267328	27760	https://he.wikipedia.org/wiki?curid=1267328	1981 בספורט	"ג'ודו . אליפות ה עולם ב גלוד של הוא ל גבר נערך ב מאסטריכט ש ב הולנד . יפן זכה ב - 4 מדליה זהב ( 6 ב סה""ך ) , ברית ה מועצה ב מדליה זהב ( 4 ב סה""ך ) , צרפת ב מדליה זהב ( 3 ב סה""ך ) , קוריאה ה דרומי ב מדליה זהב ( 3 ב סה""ך ) ו בריטניה ב מדליה זהב . טניס . גביע דייוויס . נבחרת ארץ ה ברית ( ) זכה ב גביע לאחר ניצחון 1 - 3 על נבחרת ארגנטינה ( ) . כדורסל . תחרות בינלאומי . אליפות אירופה . נבחרת ברית ה מועצה ( ) זכה ב אליפות . אליפות דרום אמריקה . אורוגוואי ( ) זכה ב אליפות ו ב רזיל ( ) זכה ב ה מקום ה שני . גביע אירופה ל ה אלופה . מכבי תל אביב ( ) זכה ב אליפות לאחר ש ניצח ב ה גמר את וירטוס בולוניה ( ) . גביע אירופה ל החזיק גביע . קאנטו ( ) ניצח את ברצלונה ( ) 82 : 86 ."
22616	30670973	https://he.wikipedia.org/wiki?curid=22616	אינטגרציה גזעית	אִינְטֶגְרַצְיָה גִּזְעִית ( או דֶסֶגְרֶגַצְיָה ) הוא גישה לפי הוא מנע סגרגציה ( הפרדה גזעי ) בקרב גזע שונה ב אותו ה מדינה על יד מתן זכות שווה ו ה זדמנות שווה , ו גם אפליה תיקן . ה מונח התייחס בעיקר ל דסגרגציה ב ארץ ה ברית . ארץ ה ברית . ה מאבק ל אינטגרציה גזעי הוא מרכיב חשוב ב מאבק ה אפרו - אמריקני ל שיווי זכות . צעד בולט ל החלה של הוא של אינטגרציה גזעי ב ארץ ה ברית היה החלטה של הוא ה תקדימי של בית ה משפט ה עליון של ארץ ה ברית , ש ניתן ב שנה 1954 ב פסק דין בראון נגד מועצה ה חינוך , ו ב הוא נקבע כי ה הפרדה ה גזעי ש היה נהג עד אז ב בית ספר נגד את ה חוקה ה אמריקני ו לפיכך אינו חוקי . ה החלטה התקלה ב התנגדות עזה של מושל מדינה ארקנסו , התנגדות ש גרם ל התערבות של כוח צבאי פדרלי כדי אכף את מימוש ה החלטה ( אירוע ה ידע כ משבר ליטל רוק ) . ב דצמבר 1955 עמד מרטין ויתר קינג ב ראש חרם על ה תחבורה ה ציבורי ב מונטגומרי ש ב אלבמה , ש מטרה של הוא הפסקה ה הפרדה בין שחור ל לבן ב אוטובוס ; ה חרם נמשך כ שנה , ו ב סוף של הוא של דבר החליט בית ה משפט ה עליון הוציא מ חוץ ל חוק את ה אפליה ב ה תחבורה ה ציבורי .
686820	243969	https://he.wikipedia.org/wiki?curid=686820	דמיטרי קרויטר	"דמיטרי "" דימה "" קרויטר ( ב רוסית : Дмитрий Кройтер ; נולד ב - 18 ב פברואר 1993 ) הוא אתלט ישראלי , 7 פעם אלוף ישראל ( 2009 , 2011 , 2012 , 2014 , 2015 , 2017 ו - 2018 ) , אלוף ה עולם ל ה קדט , אלוף אולימפי ל נוער ו סגן - אלוף אירופה עד גיל 23 ב קפיצה ל גובה . שיא של הוא ה אישי את הוא קבע ב אוגוסט 2015 , הוא 2.29 מטר . ביוגרפיה . קרויטר נולד ב ה עיר נריונגרי ה נמצא ב ה דרום יקוטיה ש ב ה מזרח רוסיה ו עלה ל ישראל ב - 1999 עם אם של הוא . עד יולי 2009 החזיק ב תעודה מעבר בלבד ו לא ב ה דרכון ישראלי , זאת לאחר ש משרד ה פנים סירב הנפיק ל הוא דרכון ב דרישה ש הציג מסמך מאב של הוא , ש אינו נמצא ב קשר עם הוא מ אז גירוש הורה של הוא . למד ב בית ה ספר ש בח מופת ב תל אביב . קריירה . ב גיל 14 ו חץ השתתף לראשונה ב אליפות ישראל ל בוגר ו קבע תוצאה של 1.98 מטר . שנה מאוחר יותר , ב - 2008 , העפיל ל ה גמר ב אליפות ישראל , ב הוא קבע תוצאה זהה ש הספיק ל הוא ל ה מקום ה חמישי . ב אותו שנה קבע תוצאה של 2.12 מטר ב אליפות אירופה ל ה מועדון ש נערך ב פורטוגל . ב שנה 2009 התמודד ב ה פעם ה שלישית ב אליפות ישראל ב אתלטיקה ל בוגר , מן הוא נעדר ניקי פאלי , ה זכה ב ארבע ה אליפות ה קודם . קרויטר קבע ב ה גמר תוצאה של 2.19 מטר ו זכה ב ה מקום ה ראשון ו ב תואר אלוף ישראל . ב אליפות ה עולם ב אתלטיקה ל ה קאדט ש נערך ב ה קיץ 2009 ב ברסנונה ש ב איטליה , זכה קרויטר ב מדליה ה זהב לאחר ש עבר ב ניסיון ה ראשון גובה של 2.20 מטר . ב כך היה ל אתלט ה ישראלי ה ראשון ש זכה ב ה תואר אלוף ה עולם ב ה מפעל זה . ב ה מרץ 2010 , ב ה תחרות ה אתלטיקה ה ארצי של בית ה ספר שבר קרויטר את שיא בית ה ספר ב קפיצה של 2.22 מטר . קרויטר השתייך ל אגודה ה ספורט של מכבי תל אביב ו התאמן תחת הדרכה של הוא של אנטולי שפרן . ב אולימפיאדה ה נוער ש נערך ב ה סינגפור ב אוגוסט אותו שנה זכה קרויטר ב מדליה זהב ב קפיצה ל גובה כש עבר גובה של 2.19 מטר , לפני ב רנדון סטארק מ אוסטרליה ( 2.19 מטר ) . 2011 . ב ה תחרות אתלטיקה ש נערך ב הדר יוסף ב פברואר 2011 , קבע קרויטר שיא אישי של 2.28 מטר , כבר ב ניסיון ה ראשון , תוצאה ש רק ש שני קופץ ישראלי ב ה עבר הצליח השיג טובה מן הוא ( קונסטנטין מטוסביץ' ו ניקי פאלי ) . ב אליפות ה עולם ב אתלטיקה 2011 לא העפיל ל ה גמר ו סיים ב ה מקום ה - 31 בלבד עם תוצאה של 2.16 מטר . 2012 . ב אליפות ה עולם ל נוער ( עד גיל 19 ) ש נערך ב ברצלונה , ספרד ב - 2012 סיים ב ה מקום רביעי ביחד עם איליה איוואניוק מ רוסיה ב תוצאה של 2.21 מטר . קרויטר סבל מ פציעה ממושך ב רגל של הוא ו אף עמד פרש מ אתלטיקה עד ש עבר טיפול ב גרמניה . 2015 . ב אליפות אירופה ב אתלטיקה עד גיל 23 ש נערך ב יולי ב טאלין ש ב אסטוניה , זכה ב מדליה כסף ב קפיצה ל גובה ב תוצאה של 2.24 מטר , אחרי איליה איוואניוק ( 2.30 מטר ) . ב אוגוסט 2015 שיפר את שיא של הוא ה אישי כש עבר גובה של 2.29 מטר . ב כך הבטיח את ה קריטריון ל השתתפות ב אולימפיאדה ריו דה ז'ניירו . 2016 . ב אליפות אירופה ש נערך ב אמסטרדם , הולנד ב יולי 2016 סיים קרויטר במקום 13 ב קפיצה ל גובה ב תוצאה של 2.23 מטר . ב אולימפיאדה ריו דה ז'ניירו קבע תוצאה של 2.17 מטר ו לא עבר את שלב ה מוקדם . 2017 . ב אוניברסיה ש התקיים ב טאיפיי , טאיוון ב שנה 2017 , סיים דימה קרויטר במקום ה - 6 לאחר ש קבע תוצאה של 2.23 מטר ."
992489	942806	https://he.wikipedia.org/wiki?curid=992489	רות דולורס וייס	"רות דולורס וייס ( נולד ב ה פ13 ב פברואר 1978 ) הוא זמרת - יצר ישראלי . ביוגרפיה . וייס נולד ב אשקלון , ל הורה ש עלה מ אוקראינה ב ה א1973 . הוא חיה מספר שנה ב ה אוסטין ש ב טקסס . ב היותה נערה נטל ל עצמו את ה שם ה אמצעי "" דולורס "" ש משמעות של הוא ב לאדי הוא עצבות ו אומללות . למד ב תיכון ה ישראלי ל מדע ו ל ה אמנות ב ירושלים . ה דמות מן הוא שאב השראה היה ה זמר טום וייטס , ש התוודע אל הוא דרך ה אלבום "" Bone Machine "" , ש קיבל ל יום הולדת של הוא ה חמישה עשר . ב ה א1997 , ב גיל 19 , עבר מ אשקלון ל תל אביב ו הקים להקה ב שם "" B - Blond "" . ב ה פ1003 הקים את להקה "" River Styx "" ( "" נהר סטיקס "" ) עם חבר ה להקה , שי לוינשטיין , עם סתו הוא נחום ו עם נגן ה קונטרבס יהוא ירון . תקליט של הוא ה ראשון "" ( ליקל See ( Raw Versions "" יצא ל ה אור ב אוגוסט 2004 , ו ב הוא שר ב אנגלית בלבד ב ה ליווי פסנתר . תקליט של הוא ה שני "" ב עברית "" , ש יצא ב אוגוסט 2008 כלל שיר ב עברית . ב ינואר 2012 יצא ל ה אור תקליט של הוא ה שלישי , "" ל ה ח ל ה פפפפק Name is Misery "" ( ש מי ה אמצע הוא אומללות ) , ב הוא הוא ביצע ב ה ליווי בלתי ־שגרתי ש כלל את ה קונטרבס של יהוא ירון ו כלי נשיפה , גרסה כיסוי ל ה שיר של אלביס קוסטלו , דייוויד בא , נינה סימון , בוב דילן , ניק קייב , בילי הולידיי , קינג קרימזון , רוברט ואייט ו אחר , ב הוא אף ביצוע ל שיר ה פופ - דאנס "" Toxic "" של זמרת ה פופ בריטני ספירס . ה תקליט זכה ל אהדה ה ביקורת . ב ה מרץ 2014 יצא אלבום של הוא "" ב שפה בן ה אדם "" . ב נובמבר 2014 הופיע עם שלמה יידוב . לווייס קול עמוק ו ייחודי , בעל צרידה ו מנעד רחב . סגן של הוא שילב בין ג'אז , בלוז , מוזיקה נשמה , פולק ו מוזיקה רוק . ה ביצוע של הוא ל שיר "" משיר ארץ אהב "" , למשל , תואר על יד מבקר ה מוזיקה של עיתון ה ארץ , בן של הוא ב מיל "" כדור שלג התגלגל של רגש חשוף , ש איים קבר תחה של הוא את ה זמרת עצמו "" . ב פברואר 2012 כתב של הוא : "" רות דולורס וייס הוא ה זמרת הכי טוב ש עלה על במת ה מוזיקה ה ישראלי ב ה שנה ה אחרון "" . ב - 2020 , ה ביצוע של הוא ל "" שיר ארץ אהבתי "" זכה ל חשיפה מחודש עקב ש ימושו ב ה סדרה "" שעה נעילה "" ."
89949	884649	https://he.wikipedia.org/wiki?curid=89949	טלספורוס	טלספורוס ( בלטינית : Telesphorus ; נפטר ב שנה 137 ) היה ה אפיפיור ה שמיני ב מספר שכ הוא החל מ שנה 125 או 126 ו עד שנה 136 או 137 ל ה ספירה . כהונה של הוא החל תחת שלטון ה דריאנוס ו הוא חזה ב רדיפה ה נוצר על – יד של הוא , רדיפה ש בא אל קיצה תחת שלטון אנטונינוס פיוס . ספר ה שנה של ה וותיקן טען כי היה יווני ב מוצא של הוא ו שלט מ - 127 או 128 עד 137 או 138 . ה מסורת של מסה חצות ב חג ה מולד ו חגיגה ה פסחא ב יום ראשון ( כדי הבדיל מ חג ה פסח ש יכול חל ב יום נוסף ) , שמירה שבעה שבוע של תענית לפני ה פסחא ו שירת ה גלוריה יוחס ב דרך כלל ל תקופה כהונה של הוא , אך היסטוריון רב פקפק אם ה ייחוס ה זה מדויק . לפי אירנאיוס היה טלספורוס מרטיר , ו הוא ה אפיפיור ה שני בלבד ( אחרי פטרוס ה קדוש ) אשר מוות ה קדוש של הוא זכה ל אישוש היסטורי . ה מסדר ה כרמליתי ראה ב ה טלספורוס ה קדוש ה פטרון של ה מסדר , משום ש נטען ש חי על הר ה כרמל כ נזיר התבודד .
1508731	243969	https://he.wikipedia.org/wiki?curid=1508731	סיארה (כדורגל)	"סיארה הוא מועדון כדורגל ברזילאי ה ייצג את ה עיר פורטלזה ש ב ברזיל . נכון הוא ל שנה 2018 שיחק ה מועדון ב ה ליגה ה על ה ברזילאי . ה מועדון הוקם ב שנה 1914 . ב היות ה מועדון ה ותיק ב מדינה סיארה הוא קיבל כינוי "" סבא "" . ב שנה 1971 ה קבוצה לראשונה השתתף ב ה ליגה ה בכיר ו נשר מן הוא לאחר עונה בודד . ב שנה 1985 ה קבוצה זכה ב ה מקום ה - 7 , ה גבוה ביותר ב תולדה ה מועדון . ב שנה 1994 ה קבוצה הגיע ל ה גמר גביע ברזיל . בעקבות כך ב שנה 1995 הוא השתתף ב ה תחרות גביע קונמבול . ל זכות של הוא של ה מועדון 44 זכייה ב אליפות סיארה ."
103402	243969	https://he.wikipedia.org/wiki?curid=103402	בוככוס הראשון, מלך מאוריטניה	"& lt ; ns &gt ; 0 & lt ; / ns &gt ; & lt ; revision &gt ; & lt ; parentid &gt ; 32617272 & lt ; / parentid &gt ; & lt ; timestamp &gt ; 2022 - 01 - 26T03 : 32 : 10Z & lt ; / timestamp &gt ; & lt ; contributor &gt ; & lt ; username &gt ; Kotz פ ה חח & lt ; / username &gt ; & lt ; / contributor &gt ; & lt ; minor / &gt ; & lt ; comment &gt ; הוספה ב ה קישורים חיצוני ב מידה ו חסר ( ) & lt ; / comment &gt ; & lt ; model &gt ; wikitext & lt ; / model &gt ; & lt ; format &gt ; text / x - wiki & lt ; / format &gt ; בוככוס או בוקכוס ה ראשון ( Bocchus ) היה מלך מ אוריטניה ב סוף ה מאה ה - 2 ל פנה""ס ו ב תחילה ה מאה ה - 1 ל פנה""ס . כ חם של הוא של יוגורתה , מילא בוככוס תפקיד חשוב ב מלחמה יוגורתה ש נערך בין ה רפובליקה ה רומי לבין ממלכה נומידיה . עם פרוץ מלחמה יוגורתה ניסה בוככוס _ ברית עם ה רפובליקה ה רומי נגד יוגורתה , אולם ב שנה 111 ל פנה""ס נדחה הצעה של הוא על יד ה סנאט ה רומי ו הוא החליט תמך ב חתנו . ב שנה 108 חתם בוככוס על הסכם עם יוגורתה ו החל התכונן ל מלחמה ב רומא . לאחר ש ה מצביא ה רומי קוינטוס קיקיליוס מטלוס הביס את כוח של הוא של יוגורתה ב קפסא , ברח זה אל בוככוס ש קיבל את הוא ב זרוע פתוח . בוככוס שיחק משחק כפול לאורך ה מלחמה : במקביל ל מהלך של הוא ה צבאי ו תמיכה של הוא ב חתנו , הוא ניהל כול ה עת משא ו מתן התמשך עם רומא . תאודור מומזן הדגיש את אי אמינות של הוא של בוככוס ו את ה יחס ה חשדני ש הפגין כלפי הוא שני ה צד . ב שנה 106 ל פנה""ס ערך גאיוס מריוס , ה מצביא ה חדש של ה צבא ה רומי , מסע מלחמה לעבר מבצר נהר ה מולכט . ב חזרה של הוא מ ה נהר , הותקף על יד כוח של הוא ה משולב של בוככוס ו יוגורת של הוא . מריוס הופתע , ו נראה היה ש פרש של הוא של בוככוס הצליח הביס את הוא . אולם , בזכות עזרה של הוא של לוקיוס קורנליוס סולה , ש שימש כ אחד מ קצין של הוא , הצליח מריוס ארגן את צבא של הוא מחדש ו הדוף את ה נומיד ו ה מאוריטן . ב ה שנה 106 ו - 105 ל פנה""ס נערך משא ו מתן בין בוככוס לבין גאיוס מריוס , ש הוביל ל כרית ברית בין מאוריטניה ו רומא . ב תמורה ל שלום עם רומא , דרש מריוס מ בוככוס הסגיר את חתנו הוא . בוככוס דרש ש סולה היה זה ש חתם את ה חוזה סופית , ו שרק ל יד של הוא הסגיר את יוגורת של הוא . מריוס הסכים , למרות חשש של הוא ש סולה ( ש מנה בינתיים ל סגן של הוא בעקבות הצטיינות של הוא ב לחימה ) , נתפס על יד בוככוס ו שימש כ בן ערובה . סולה נשלח ל מחנה של הוא של בוככוס ו עבר דרך כוח של הוא של יוגורתה ב ה ליווי בן של הוא של בוככוס , וולכוס . כמו ב ה טח , הונה בוככוס את יוגורת של הוא ו מסר את הוא לידי חייל של הוא של סולה . לפי מקור מסוים , מימן בוככוס את ב נייה של הוא של פסל זהב ש הוצב על גבעה ה קפיטולין ו הנציח את מסירה של הוא של יוגורתה ל ה סולה . ה פסל היה אחד מ ה גורם ש תרם ל עוינות ש נוצר בין סולה ל ה גאיוס מריוס . לאחר מוות של הוא של בוככוס עלה ל ה שלטון ב ניו בוככוס ה שני ו בוגוד ."
1787845	243969	https://he.wikipedia.org/wiki?curid=1787845	טלסקופ אופטי	טלסקופ אופטי הוא מכשיר ל צפייה ב עצם רחוק . טלסקופ אופטי אוסף ו מרכז אור בעיקר מ ה תחום ה נראה של ה ספקטרום ה אלקטרומגנטי , יש טלסקוף ש עבד ב תחום ה תת - אדום ו ה על סגול , ב צורה של הוא ה פשוט ביותר ה טלסקופ הוא צינור ש ב כול אחד מקצה של הוא עדשה ריכז . טלסקוף עבד ב כול אורך ה גל של ה קרינה ה אלקטרומגטי ( למשל : רדיו טלסקופ ) . סוג טלסקוף אופטי . טלסקוף אופטי נחלק ל שלושה סוג : טלסקופ קטדיופטרי עובד באמצעות שילוב של עדשה ו מראה . טלסקופ החזיר - אור עובד באמצעות סידור של מראה . סוג זה קל מ ה אחר ל ה בנייה ב גודל גדול , ו לכן הוא ה יחיד ה שימש ב ה טלסקוף אסטרונומי גדול . טלסקופ שבר - אור עובד באמצעות סידור של כמה עדשה . שימוש ב מילה טלסקופ . ה מילה טלסקופ ב ה מקור שימש ל תיאור כלי ה נועד ל צפייה ב תחום ה אור ה נראה באמצעות ה עין ה אנושי ו מטרה של הוא היה הגדיל זוויתית את ה עצם או ה עצם ש על הוא הוא צפה ו ב כך הפך את הוא ל ה גדול ( זוויתי ) . בנוסף , נעשה שימוש ב מילה טלסקופ בשביל תיאר מכשיר ה צפה ב קרינה חלקיקי ( למשל טלסקופ ניוטרינו ) .
1586868	243969	https://he.wikipedia.org/wiki?curid=1586868	אנסבך (עיר)	אנסבך ( ב גרמנית : ) הוא עיר ב מדינה בוואריה ש ב גרמניה ה היווה עיר ה בירה של אזור מרכז פרנקוניה . אנסבך מוקם 40 קילומטר מ דרום מערב ל נירנברג ו - 140 קילומטר מ צפון ל מינכן . ב שנה 2016 ה עיר מנה אוכלוסייה של 41,532 . היסטוריה . ב מלחמה ה עולם ה שנייה היה ב ה עיר בסיס של לופטוואפה ו ה וורמאכט . ב - 18 אפריל 1945 הגיע ה קורפוס ה - 21 ל אנסבך . רוברט לימפרט , סטודנט בן 19 ניסה פעל ל כניעה ה עיר ללא קרב ל ה אמריקני , ו חתך את חוט ה טלפון ש חיבר את מפקדה ה עיר ל ה מטה ה וורמאכט - הוא נתפס ו נידון ל ה מוות .
